"idMovies";"movieName";"movieDescription";"movieRating";"movieReleaseYear";"movieTrailer"
1;"The Shawshank Redemption";"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.";"9,4";"1994";"https://www.youtube.com/embed/PLl99DlL6b4"
2;"The Godfather";"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.";"9,2";"1972";"https://www.youtube.com/embed/UaVTIH8mujA"
3;"The Dark Knight";"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.";"9,0";"2008";"https://www.youtube.com/embed/EXeTwQWrcwY"
4;"The Godfather Part II";"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.";"9,0";"1974";"https://www.youtube.com/embed/9O1Iy9od7-A"
5;"12 Angry Men";"The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.";"9,0";"1957";"https://www.youtube.com/embed/TEN-2uTi2c0"
6;"Schindler's List";"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.";"9,0";"1993";"https://www.youtube.com/embed/gG22XNhtnoY"
7;"The Lord of the Rings: The Return of the King";"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.";"9,0";"2003";"https://www.youtube.com/embed/r5X-hFf6Bwo"
8;"Pulp Fiction";"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.";"8,9";"1994";"https://www.youtube.com/embed/s7EdQ4FqbhY"
9;"The Lord of the Rings: The Fellowship of the Ring";"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.";"8,8";"2001";"https://www.youtube.com/embed/V75dMMIW2B4"
10;"The Good, the Bad and the Ugly";"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.";"8,8";"1966";"https://www.youtube.com/embed/IFNUGzCOQoI"
11;"Forrest Gump";"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.";"8,8";"1994";"https://www.youtube.com/embed/bLvqoHBptjg"
12;"Fight Club";"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.";"8,8";"1999";"https://www.youtube.com/embed/BdJKm16Co6M"
13;"The Lord of the Rings: The Two Towers";"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.";"8,8";"2002";"https://www.youtube.com/embed/LbfMDwc4azU"
14;"Inception";"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.";"8,8";"2010";"https://www.youtube.com/embed/YoHD9XEInc0"
15;"Star Wars: Episode V - The Empire Strikes Back";"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.";"8,7";"1980";"https://www.youtube.com/embed/JNwNXF9Y6kY"
16;"The Matrix";"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.";"8,7";"1999";"https://www.youtube.com/embed/vKQi3bBA1y8"
17;"Goodfellas";"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.";"8,7";"1990";"https://www.youtube.com/embed/2ilzidi_J8Q"
18;"One Flew Over the Cuckoo's Nest";"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.";"8,7";"1975";"https://www.youtube.com/embed/OXrcDonY-B8"
19;"Se7en";"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.";"8,6";"1995";"https://www.youtube.com/embed/znmZoVkCjpI"
20;"It's a Wonderful Life";"An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.";"8,6";"1946";"https://www.youtube.com/embed/iLR3gZrU2Xo"
21;"Seven Samurai";"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.";"8,6";"1954";"https://www.youtube.com/embed/wJ1TOratCTo"
22;"Interstellar";"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.";"8,7";"2014";"https://www.youtube.com/embed/zSWdZVtXT7E"
23;"The Silence of the Lambs";"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.";"8,6";"1991";"https://www.youtube.com/embed/6iB21hsprAQ"
24;"Saving Private Ryan";"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.";"8,6";"1998";"https://www.youtube.com/embed/9CiW_DgxCnQ"
25;"City of God";"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.";"8,6";"2002";"https://www.youtube.com/embed/dcUOO4Itgmw"
26;"Life Is Beautiful";"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.";"8,6";"1997";"https://www.youtube.com/embed/8CTjcVr9Iao"
27;"Spider-Man: Across the Spider-Verse";"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.";"8,7";"2023";"https://www.youtube.com/embed/shW9i6k8cB0"
28;"The Green Mile";"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.";"8,6";"1999";"https://www.youtube.com/embed/Ki4haFrqSrw"
29;"Star Wars: Episode IV - A New Hope";"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.";"8,6";"1977";"https://www.youtube.com/embed/vZ734NWnAHA"
30;"Terminator 2: Judgment Day";"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.";"8,6";"1991";"https://www.youtube.com/embed/CRRlbK5w8AE"
31;"Breaking Bad";"A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.";"9,5";"2008";"https://www.youtube.com/embed/VFLkMDEO-Xc"
32;"Planet Earth II";"David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.";"9,5";"2016";"https://www.youtube.com/embed/c8aFcHFu8QM"
33;"Planet Earth";"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.";"9,4";"2006";"https://www.youtube.com/embed/V31U7AMq1n8"
34;"Band of Brothers";"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.";"9,4";"2001";"https://www.youtube.com/embed/KKRBAFlN5ww"
35;"Chernobyl";"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.";"9,3";"2019";"https://www.youtube.com/embed/s9APLXM9Ei8"
36;"The Wire";"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.";"9,3";"2002";"https://www.youtube.com/embed/1S5khOZ1wBs"
37;"Avatar: The Last Airbender";"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.";"9,3";"2005";"https://www.youtube.com/embed/ooVvH2IYz0w"
38;"Blue Planet II";"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.";"9,3";"2017";"https://www.youtube.com/embed/kAphgHhlteM"
39;"The Sopranos";"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.";"9,2";"1999";"https://www.youtube.com/embed/KMx4iFcozK0"
40;"Cosmos: A Spacetime Odyssey";"An exploration of our discovery of the laws of nature and coordinates in space and time.";"9,3";"2014";"https://www.youtube.com/embed/_erVOAbz420"
41;"Our Planet";"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.";"9,3";"2019";"https://www.youtube.com/embed/aETNYyrqNYE"
42;"Game of Thrones";"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.";"9,2";"2011";"https://www.youtube.com/embed/KPLWWIOCOOQ"
